title,description,tags,last_update,publisher,contact_nam,contact_email,url,direct_url,license,comments,type,access,category
Indice Paulista de Vulnerabilidade Social - IPVS,"Indicador de desigualdade social e pobreza intramunicipal, em cada setor censitário.",,,seade,,,http://www.iprs.seade.gov.br/ipvs2010/view/index.php?prodCod=2,,,,,,seade
PIB - Produto Interno Bruto,Indicador da geração de riqueza no Estado de São Paulo.,,,seade,,,http://www.seade.gov.br/produtos/pib-anual/,,,,,,seade
Pesquisa de Investimentos Anunciados no Estado de São Paulo,Levantamento de anúncios de investimentos feitos por empresas nos municípios e regiões paulistas.,,,seade,,,http://www.piesp.seade.gov.br,,,,,,seade
Pesquisa de Emprego e Desemprego - PED,"Informações sobre o mercado de trabalho, destacando desemprego, ocupação e rendimentos.",,,seade,,,http://www.seade.gov.br/produtos/ped-rmsp/,,,,,,seade
Painel das Profissões,"Informações sobre profissões, formação profissional e mercado de trabalho formal nos municípios e regiões do Estado.",,,seade,,,http://www.seade.gov.br/profissoes/,,,,,,seade
Indicadores Sebrae-SP de Conjuntura,"Pesquisa sobre faturamento e expectativas das micro e pequenas empresas e dos microempreendedores individuais, em parceria com o Sebrae-SP",,,seade,,,"http://www.sebrae.com.br/sites/PortalSebrae/ufs/sp/sebraeaz/indicadores-sebrae-em-sao-paulo,5508794363447510VgnVCM1000004c00210aRCRD",,,,,,seade
DataGEO - dados ambiente (principal),,,,DataGEO,,,http://datageo.ambiente.sp.gov.br/,,,,,,outros
DataGEO - dados mapeamento,,,,DataGEO,,,http://datageo.ambiente.sp.gov.br/coffey?_48_INSTANCE_KDzpt1cNV1RS_iframe_text=ipt&enviar=Consultar&p_p_id=48_INSTANCE_KDzpt1cNV1RS&_48_INSTANCE_KDzpt1cNV1RS_iframe_avancado=false#_48_INSTANCE_KDzpt1cNV1RS_%3Dhttp%253A%252F%252Fdatageo.ambiente.sp.gov.br%252Fgeoportal%252Fcatalog%252Fsearch%252Fsearch.page%253Favancado%253Dfalse%2526text%253Dipt,,,,,,outros
CPRM (principal),,,,CPRM,,,http://www.cprm.gov.br/,,,,,,outros
CPRM,,,,CPRM,,,http://www.cprm.gov.br/publique/Gestao-Territorial/Geologia-de-Engenharia-e-Riscos-Geologicos/Cartas-de-Suscetibilidade-a-Movimentos-Gravitacionais-de-Massa-e-Inundacoes-3507.html,,,,,,outros
IDESP (principal),,,,IDESP,,,http://www.idesp.sp.gov.br/,,,,,,outros
IDESP,,,,IDESP,,,http://www.idesp.sp.gov.br/Visualizador,,,,,,outros
SP - Defesa Civil (principal),,,,Defesa Civil SP,,,http://www.saopaulo.sp.gov.br/spnoticias/orgaos-governamentais/defesa-civil/,,,,,,outros
SP - Defesa Civil,,,,Defesa Civil SP,,,http://www.defesacivil.sp.gov.br/?page_id=399,,,,,,outros
